DMS Customer,Outlet Name,Latitude,Longitude,Channel,Apr'24,May'24,Jun'24,Jul'24,Aug'24,Sep'24,Oct'24,Nov'24,Dec'24,Jan'25,Feb'25,Mar'25,Annual Sale,Apr'24_Active,May'24_Active,Jun'24_Active,Jul'24_Active,Aug'24_Active,Sep'24_Active,Oct'24_Active,Nov'24_Active,Dec'24_Active,Jan'25_Active,Feb'25_Active,Mar'25_Active,Churn,KITCHEN CLEANER,SURFACE DISINFECTANT,YOGA BAR,AGARBATTI,ANTISEPTIC LIQUID,ATTA,BISCUITS,BREAKFAST CEREALS,CHOCOLATES,CONFECTIONERY,CREAM,DEODORANT,FLOOR CLEANER,GHEE,HAND SANITIZER,HAND WASH,JUICES,MATCHES,NOODLES,OTHER PC PRODUCTS,PASTA,SALT,SHOWER GEL,SNACKS-BINGO,SPICES,TALC,TOILET SOAP,Pop Density (#/km2),Building Count,% built up area,Build Area growth %,Average Rent,Road_Density_m_per_sqkm,Intersection_Count,School,Corporate,Hotel,Temple,University,POI,Total Retail Outlet,months_active,growth_rate,cv,expected_loss,cum_loss,cum_share
AH3123ITC1724020,ADS SUPERMART LLP,21.169686,72.844728,Retail,202348.508252,52160.89,95319.31826000001,171028.224477,252365.63,115171.458152,245054.862375,141062.1946,89401.56019999999,82827.20730000002,28424.8188,119341.3361,1594506.008516,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,35261.690525,0.0,864935.2718860001,399133.269066,17479.964508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50176.862153,4153.819522,0.0,0.0,0.0,6671.652168,0.0,0.0,0.0,216693.478688,12183.173828125,250.681121869811,55.1308781104652,12.5817284110669,14.99,37212.42443527143,44.0,0.0,0.0,0.0,0.0,0.0,67.0,135.0,12,-0.4102188489999859,0.5414515398241283,654096.4195369952,15255002.087833775,0.21043702157208372
AH2886ITC2579224,VARDHMAN RETAIL,21.220738,72.849753,Retail,131985.71,36620.4,-8997.160000000002,1.229999999999563,22084.06,70577.11999999998,88993.96,63649.4823,68379.0338,60055.09650000002,61769.66060000002,21945.571,617064.1642,1,1,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0,6188.4258,18261.3312,553.358,143448.7266,206618.0834,988.4000000000001,215.2458,3775.0357,0.0,15865.6167,0.0,0.0,0.0,13883.4446,7336.105599999999,15814.6655,27024.1965,0.0,2062.397,0.0,1481.991,2171.4866,0.0,0.0,151375.6542,11333.55859375,226.299993327051,53.7560984668828,15.8343967612355,10.93,50545.88038844756,65.0,1.0,0.0,2.0,1.0,1.0,85.0,160.0,11,-0.83372767400349,0.6371124862641094,514463.4703293736,15769465.55816315,0.21753385183014662
AH3123ITC1722128,DHIRAJ SONS SUPER MARKET,21.17163,72.778462,Retail,352533.816809,82033.48999999999,80483.75,197160.06,41580.99311,0.0,66105.30891600001,170077.2224,-2024.1512,0.0,0.0,0.0,987950.4900350001,1,1,1,1,1,0,1,1,0,0,0,0,1,0.0,0.0,0.0,20685.935825,0.0,695370.813447,158669.210571,6809.857608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23435.453152,1950.78,14983.182687,19049.68065,0.0,0.0,0.0,0.0,3251.52,0.0,0.0,43744.056095,9741.171875,255.34107594785,37.22855473362984,17.2129668772481,20.88,42565.75833318987,70.0,0.0,0.0,0.0,0.0,0.0,49.0,98.0,7,-0.5175577085356694,0.7712204723767268,511321.3917692064,16280786.949932355,0.22458733829514152
AH3073CIS659EXP22-86,PARAS SUPER STORE,21.19464,72.72965,Retail,35799.85,34151.63,36504.44,39499.28000000001,44293.474,49113.54000000001,43909.21449999999,43136.4829,51506.13660000001,64674.6516,48134.1603,1674.9567,492397.8166,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,2494.6532,2023.4542,0.0,318267.9941,119771.9453,4843.976900000001,2181.774,1061.3245,0.0,730.2518,0.0,0.0,0.0,718.2748999999999,3276.8353,4365.481,5073.2879,0.0,757.0187000000001,0.0,180.91,2072.7963,0.0,0.0,24577.8385,9534.279296875,214.826015416831,38.32803367432628,25.3150452350583,11.91,62063.2016437742,99.0,0.0,0.0,0.0,0.0,0.0,79.0,159.0,12,-0.9532133039663307,0.364027555929784,469360.1496270934,16750147.099559449,0.2310619851921698
AH3123ITC1728562,PATEL BASKET.COM,21.146912,72.757639,Retail,73778.21,76772.8,62708.19,33473.87,136791.257772,10896.71,123482.0154,57140.9206,77995.75529999999,55181.3262,73117.18469999998,32033.06820000001,813371.308172,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,-0.0411,9021.7752,200.8578,516397.936672,122639.8885,2884.1156,413.272,1038.2964,0.0,2614.4026,0.0,0.0,0.0,15915.6396,6460.613699999998,6139.797500000001,21752.0467,1218.31,9386.2423,0.0,8187.642,319.6417,0.0,0.0,88780.871,8058.62841796875,55.198132496988,11.00392943079696,63.130679953832,9.45,60558.89564692367,34.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,12,-0.5658193903050701,0.5282662111667494,460221.2576815183,17210368.357240967,0.23741056450884493
AH3123ITC1727878,TULSI SUPER,21.141819,72.772981,Retail,54466.24244200001,40760.02522400002,48141.28999999999,77807.841769,114567.517636,121419.739551,51411.65879999998,77740.5318,107728.6729,78273.08070000002,131624.7662,28893.22069999999,932834.587722,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,251.73,6881.5532,-0.0001,816024.713438,61759.280399,4280.837892,886.8288,856.0672999999999,0.0,-0.0002,0.0,0.0,0.0,889.7242,3803.1695,13496.7848,1428.118042999999,0.0,545.915384,0.0,0.0,807.215366,0.0,0.0,20922.6497,10298.654296875,90.2313174696642,18.60400958316884,52.9764758717494,25.77,34939.39905213736,39.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,12,-0.4695205800038756,0.4410726463439657,437985.0366749096,17648353.393915877,0.24345240351223085
AH3125CIS161EXP2023-149,CHHOTALAL MOTILAL,0.0,0.0,Retail,0.0,0.0,0.0,676224.2699999999,406357.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1082581.98,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1082581.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,2,-0.39907848915271776,0.35253584138078087,432035.1809623577,18080388.574878234,0.2494121664917838
AH2886ITC2570583,YOUR STORE93777 96807,21.22097,72.838024,Retail,135359.9,87364.02000000002,93619.29000000001,121514.23676,94883.83,87173.82000000002,71974.1211,57062.82540000002,106846.8089,55270.35969999999,106877.4625,85105.5935,1103052.26786,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,5936.5296,33540.793805,2162.0563,313151.0501,241424.8429,6679.7927,2524.7054,1062.2744,0.0,53089.9999,0.0,0.0,0.0,33222.5102,24837.0308,24238.568839,28976.6065,866.31,-38.8,0.0,11903.5059,761.8727,0.0,0.0,318712.617816,11132.44921875,187.941392535302,45.9932077732376,16.8572311345255,9.95,51867.22250584943,72.0,1.0,0.0,0.0,1.0,0.0,78.0,153.0,12,-0.3712643589423428,0.2596645528366727,409523.9931069403,18489912.567985173,0.25506139609368994
AH3123ITC1721772,ICCHANATH STORES,21.160778,72.778656,Retail,69881.78,33960.851031,34606.29000000001,89657.399218,62274.32999999999,103530.69,52746.544782,42709.196,70057.9189,43333.71950000001,37717.5259,28959.5785,669435.8238310001,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,5342.8396,0.0,418240.425903,114807.135068,4275.747149,0.0,0.0,0.0,365.12,0.0,0.0,0.0,551.758,0.0,40100.1846,8997.304258,0.0,3556.571653,0.0,707.7479000000001,0.0,0.0,0.0,72490.98969999999,9507.541015625,178.254939624977,30.46698086347572,24.4650203116958,20.91,45275.71771956108,88.0,0.0,0.0,0.0,0.0,0.0,76.0,153.0,12,-0.5855918595662476,0.42480297611427775,392016.1689374583,18881928.736922633,0.2604691118399296
AH3123ITC1723168,MAHAVIR NAMKEEN PVT.LTD.,21.135321,72.773758,Retail,105274.078959,106910.659905,155582.254574,48924.343009,216479.436906,0.0,0.0,62220.878,41810.8826,27123.5018,28640.2414,58703.497,851669.774153,1,1,1,1,1,0,0,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,850206.296153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11264.7724609375,68.0770391884756,19.60641778759652,93.8722974058249,25.75,35111.00504973389,15.0,0.0,0.0,0.0,0.0,0.0,10.0,21.0,10,-0.4423746321935233,0.722349928072996,376757.10309127445,19258685.840013906,0.26566633450657773
AH3073CIS659KH8700,AASHA STORE.9586664058,21.211616,72.773068,Retail,38856.95,47927.49000000001,40272.66,44569.38600200001,50117.48899999999,34161.74,38830.1347,45555.8582,40882.30640000001,38600.1319,22919.77079999999,6649.3843,449343.301302,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,4157.6594,15739.6701,1807.6143,267988.337302,63655.785611,3000.8488,826.5559999999999,1934.0881,0.0,8841.03336,0.0,0.0,0.0,10252.604,1251.33,19454.471208,9500.861695,0.0,4013.3904,0.0,6961.231299999999,4131.747526,0.0,0.0,25826.0722,10323.109375,120.431616393608,33.7457824699828,41.7135636801424,11.92,29648.170686117,41.0,0.0,0.0,1.0,0.0,0.0,87.0,173.0,12,-0.8288752900060138,0.3202862170491184,372449.55917895486,19631135.399192862,0.270804136223561
AH2886ITC2570661,HASTEE MART 90331 23689,21.202342,72.87555,Retail,112891.34,17168.89,22317.63,25593.99,47850.22,23349.60000000001,34475.46,27095.676,38156.9371,-0.0001,65473.3324,17521.1251,431894.2005,1,1,1,1,1,1,1,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,334120.4217,76515.3588,4690.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16568.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10687.5751953125,293.362710650959,50.6380522545004,24.1030821026976,12.95,53999.37911852788,108.0,0.0,0.0,1.0,1.0,0.0,77.0,150.0,11,-0.8447965530394018,0.722271884391212,364862.73186010827,19995998.13105297,0.2758372805085119
AH3123ITC1723762,UMA STORE,21.168267,72.818513,Retail,74425.407849,48508.17,34644.376004,66782.81,51136.641675,38350.42204600001,68574.49522099999,41433.35060000001,37779.1117,38498.9601,35066.59670000001,26803.8927,562004.234595,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,10136.003101,0.0,27921.065426,370737.136986,2884.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11881.6835,19601.086427,32897.169943,6367.192777,0.0,1587.13,0.0,9036.4591,2683.338706,0.0,0.0,66271.518629,12022.228515625,235.472104798385,47.4024696258852,16.345713432945,15.92,61840.87486019907,124.0,0.0,0.0,0.0,0.0,0.0,70.0,141.0,12,-0.6398556155126157,0.3278961219173638,359601.56544748024,20355599.69650045,0.28079784897974
AH3073CIS659KH10343,VARSHA MASALA NAMKEEN,21.206954,72.771416,Retail,34886.31,42140.12000000001,29404.656525,32209.04,39147.21900200001,30067.79,41336.342,37293.7393,47230.87720000001,57646.1841,11243.2244,4156.8112,406762.313727,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,2324.582,287.07,288038.397427,37772.6924,9362.2281,0.0,3846.2301,0.0,3283.7782,0.0,0.0,0.0,6488.3713,0.0,13386.5197,11803.0287,356.7968,0.0,0.0,4063.8112,0.0,0.0,0.0,25748.8078,10038.8896484375,99.4933187565128,18.38433101736808,33.093781347651,11.94,21761.18039237732,31.0,0.0,0.0,1.0,1.0,0.0,58.0,113.0,12,-0.8808469224747221,0.4303320537342904,358295.33222512534,20713895.028725576,0.28574039845449667
AH3073CIS659EXP23-39,NILKANTH TRADERS,0.0,0.0,Retail,362199.574106,0.0,25352.36,0.0,0.0,0.0,0.0,110314.8989,0.0,0.0,0.0,0.0,497866.833006,1,0,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,497866.833006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,3,-0.6954306222687155,1.0555902761700753,346231.84148431726,21060126.87020989,0.2905165366074691
AH2886ITC2579013,BANSARI TRADING,21.201811,72.822579,Retail,0.0,64140.45,46586.26,43944.1,67486.76,44125.96,66188.9297,27588.6856,32108.2241,22625.0929,45866.3522,20278.8186,480939.6331,0,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,480939.6331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13461.806640625,409.953486770614,61.66218051397241,17.4564325547285,19.45,58433.825672342,105.0,0.0,0.0,0.0,0.0,0.0,88.0,177.0,11,-0.683837288325843,0.38877378037026417,328884.4545475298,21389011.32475742,0.29505337407611404
AH2988CIS149358,RAHMANI GENERAL STORE,21.113206,72.859071,Retail,26345.850675,31311.222264,24007.985341,31052.827166,33198.066654,34563.138625,45434.564685,36751.2133,34592.9608,16265.9762,45767.2831,3082.3553,362373.4441099999,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,278489.131225,0.0,6832.19,30782.618935,0.0,0.0,0.0,0.0,0.0,0.0,10990.486802,0.0,17349.646175,0.0,0.0,0.0,0.0,17929.370973,0.0,0.0,0.0,12270.5791015625,316.197057558472,45.0605038301836,20.0645583089038,14.92,58512.13783153376,98.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,12,-0.8830041459649743,0.3930104201719321,319977.2535367368,21708988.578294158,0.29946734005379083
AH2886ITC2570181 EXP2017,PRIME STORE,21.216186,72.850625,Retail,128733.39,28681.101798,20909.4,28988.41,30881.29,66118.54668999999,6456.048000000001,6609.9274,0.0,-4640.7083,-6176.1195,0.0,306561.286088,1,1,1,1,1,1,1,1,0,0,0,0,1,0.0,0.0,0.0,4810.94,150.001324,141231.2074,76955.371798,4706.67,0.0,1876.18,0.0,0.0,0.0,0.0,0.0,4759.328409,0.0,10602.731136,6214.879999999999,0.0,-428.3,0.0,3501.2425,1062.96,0.0,0.0,51118.073521,13820.4375,359.702521297328,60.5510414663028,14.9394465465479,11.91,71002.23756576967,152.0,0.0,0.0,0.0,1.0,0.0,91.0,181.0,8,-0.9486541339430201,1.021319996284988,290820.63135427004,21999809.209648427,0.30347910138437195
AH3123ITC17212735,MAMA DEV TRADERS,21.151875,72.864846,Retail,46893.22999999999,37471.212325,35658.01,44846.52,51270.94,38975.61,38354.05599999999,18696.3002,46274.56760000001,37918.038,0.0,13680.0655,410038.549625,1,1,1,1,1,1,1,1,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,241987.1841,117504.420825,2280.2958,0.0,55.1524,0.0,0.0,0.0,0.0,0.0,0.0,1585.06,0.0,46626.4365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10831.927734375,145.33544205192,19.40939111873516,17.5036994274313,10.87,50063.46255694247,79.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,11,-0.7082720576083005,0.31004673297772134,290418.847241622,22290228.056890048,0.3074853202540937
AH3073CIS659EXP23-24KH01,GAUTAM KARIYANA STORE,21.181043,72.714407,Retail,34488.49,25501.36,22100.293843,36616.99,33694.712,39732.73,28308.9026,29087.7407,34600.10379999999,10187.237,1281.1324,2669.7059,298269.398243,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,9286.8583,75.0006,169226.596185,63162.22577,11702.8722,1033.1798,4942.545,0.0,3034.0998,0.0,0.0,0.0,1336.5822,726.96,925.8868,24108.361788,0.0,269.8133,0.0,0.0,3231.5514,0.0,0.0,5206.8651,7234.9619140625,93.0562087341548,19.1838249110156,28.6351190905246,14.81,42205.97945773837,51.0,0.0,0.0,0.0,0.0,0.0,23.0,47.0,12,-0.9225913949842129,0.5324295051879147,275180.7802061111,22565408.83709616,0.31128133571492667
AH3125CIS161EXP2020-3,M.H.PANWALA 9913166432,21.199818,72.830206,Retail,166166.03,90826.08000000002,172762.386017,146592.977809,129032.56,217012.19,181375.1089,13733.5954,181697.032,221447.1727999999,143811.4898,141253.5273,1805710.150026,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1715434.556726,0.0,413.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89862.31330000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11705.0732421875,408.926955372679,68.05325621662361,14.180018728682,19.45,79305.64652442111,136.0,0.0,0.0,0.0,0.0,0.0,93.0,187.0,12,-0.1499253650099233,0.3748471173766876,270721.7533447714,22836130.59044093,0.3150158405757343
AH2988CIS149265,AADINATH SUPER STORE,21.079522,72.876412,Retail,95368.210375,47002.164921,60635.215707,94585.85864799998,80658.22035500001,76364.031476,76162.55473399999,79572.249,46703.9217,63492.07339999999,63788.94479999999,69219.04089999999,853552.4860159998,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,20580.078701,0.0,272286.134022,344647.742988,2669.365789,3221.5527,114.7,0.0,20039.071204,0.0,0.0,0.0,2171.837585,11895.095422,38852.762943,37259.640907,0.0,1707.599946,0.0,4956.486882,2412.891566,0.0,0.0,90737.525361,9884.326171875,269.864735253855,40.5294387035172,26.8316677487897,9.88,66724.23508001538,117.0,0.0,0.0,0.0,0.0,0.0,19.0,38.0,12,-0.2741916763686542,0.22258360345042003,234036.98700935926,23070167.577450287,0.31824429286963674
AH3073CIS659EXP21KH09,ENJOY SUPER MARKET,21.210684,72.769966,Retail,29328.674705,23581.03,19145.23,30618.16,26843.707,24422.62,20241.9253,13701.4816,26961.5248,20173.0828,5541.1088,1160.6818,241719.226805,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,1637.5624,647.6458,0.0,150427.16941,31319.541695,4274.5444,0.0,0.0,0.0,199.36,0.0,0.0,0.0,1436.4557,2885.9626,10872.6119,6825.4911,0.0,0.0,0.0,1682.1047,1155.9834,0.0,0.0,28354.7937,8119.66552734375,64.4565873044204,17.96815766370776,93.8790228983103,11.94,14848.25175196406,6.0,0.0,0.0,5.0,0.0,0.0,67.0,125.0,12,-0.9604250170975819,0.45688411849526955,232153.1925370064,23302320.769987293,0.321446758926649
